img,output,flag,username,timestamp
d:\Projects\Digit_Recognizer\flagged\img\0eb565c58fafadc674209fd3a622d458bb8c5bdc\tmpwo3utuca.png,d:\Projects\Digit_Recognizer\flagged\output\tmprqoucyf0.json,,,2023-09-07 17:09:50.316253
d:\Projects\Digit_Recognizer\flagged\img\5efd128e9828dc74d7421500b82c48f1c92b7baa\tmpbhzlz0w4.png,d:\Projects\Digit_Recognizer\flagged\output\tmp32dj9_on.json,,,2023-09-07 17:10:39.870037
